시군명,사업장명,인허가일자,영업상태명,폐업일자,병상수(개),의료기관종별명,의료인수(명),입원실수(개),진료과목내용,연면적(㎡),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
수원시,류마나우한의원,20160503,영업중,,,1,123.84,"경기도 수원시 권선구 덕영대로1201번길 16, 2층 (권선동, 세일프라자)",경기도 수원시 권선구 권선동 1192번지 2호,16584,37.2497437,127.0226969,,,
수원시,용 한의원,20081001,영업중,,,1,0,"경기도 수원시 팔달구 권광로276번길 4 (인계동,선우프라자4층)",경기도 수원시 팔달구 인계동 368번지 선우프라자 4층,16534,37.2715727,127.0360291,,,
수원시,자이한의원,20080808,영업중,,,1,112.93,경기도 수원시 팔달구 권광로 174 (인계동),경기도 수원시 팔달구 인계동 1124-1번지,16488,37.26279753,127.0329139,,,
수원시,이희성한의원,20180711,영업중,,,1,195,"경기도 수원시 영통구 덕영대로 1505, 늘푸른빌딩 4층 (영통동)",경기도 수원시 영통구 영통동 979번지 2호 늘푸른빌딩,16698,37.2460755,127.0554487,,,
수원시,꿈꾸는한의원,20180813,영업중,,,1,165.6,"경기도 수원시 권선구 정조로 538, 1층 (세류동)",경기도 수원시 권선구 세류동 531번지 2호,16578,37.25698938,127.0115053,,,
수원시,여덟한의원,20170508,영업중,,,1,89.7,"경기도 수원시 팔달구 권광로 184, 3층 304호 (인계동, 캐슬타워)",경기도 수원시 팔달구 인계동 1120번지 캐슬타워 3층 304호,16488,37.2637705,127.0333088,,,
수원시,경희회오리한의원,20170427,영업중,,,1,165,"경기도 수원시 팔달구 권광로 208, 3층 (인계동)",경기도 수원시 팔달구 인계동 1114-10번지 3층,16488,37.2658247,127.033862,,,
수원시,경희숨편한한의원,20170424,영업중,,,1,128.6,"경기도 수원시 팔달구 매산로 37, 3층 일부호 (매산로2가, 코스모수원빌딩)",경기도 수원시 팔달구 매산로2가 40-13번지 코스모수원빌딩 3층 일부호,16456,37.26852512,127.0054279,,,
수원시,생기한의원,20180829,영업중,,,2,186.71,"경기도 수원시 팔달구 권광로 181, 씨네파크 406호 (인계동)",경기도 수원시 팔달구 인계동 1113번지 11호 씨네파크,16490,37.26387893,127.0322266,,,
수원시,거북이한의원,19930519,영업중,,,1,54.59,"경기도 수원시 장안구 수성로261번길 73, 1층 (정자동)",경기도 수원시 장안구 정자동 43-30번지 1층,16317,37.29265229,126.9986754,,,
수원시,사암바른한의원,20150303,영업중,,,1,221,경기도 수원시 팔달구 중부대로 249 (우만동),경기도 수원시 팔달구 우만동 81-6번지,16498,37.2751835,127.0433031,,,
